"LogicalPoint","SourcePath","SourceEvidence","PointKind","PhysicalAddress","Transport","ValueType","LegacySubscription","SourceCapability","LegacyRead","LegacyWrite","ScopeStatus","TargetNodeId","TargetDataAccess","TargetWriteEntry","WritePreconditions","ReadbackOrFailure","FirstSlice","Notes"
"SMART.PLC.AI.Zero04","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD316","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero04","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero05","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD320","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero05","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero06","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD324","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero06","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero07","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD328","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero07","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero08","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD332","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero08","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero09","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD336","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero09","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero10","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD340","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero10","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero11","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD344","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero11","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero12","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD348","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero12","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero13","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD352","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero13","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero14","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD356","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero14","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero15","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD360","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero15","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero16","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD364","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero16","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero17","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD368","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero17","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero18","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD372","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero18","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero19","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD376","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Zero19","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AO.CA00","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD500","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA00","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.CA01","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD504","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA01","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.CA02","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD508","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA02","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.CA03","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD512","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA03","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.CA04","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD516","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA04","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.CA05","Modules/AOGrp.cs","AOGrp.cs:8-12,34-60","Analog output","VD520","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.AO.CA05","ReadOnlyDataVariable","Gateway.Commands.WriteTag (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","AO setters currently write directly through the old BaseModule"
"SMART.PLC.AO.Gain00","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD700","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain00","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Gain01","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD704","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain01","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Gain02","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD708","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain02","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Gain03","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD712","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain03","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Gain04","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD716","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain04","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Gain05","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,154-169; frmHardWare.cs:142-156","AO calibration gain","VD720","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Gain05","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero00","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD600","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero00","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero01","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD604","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero01","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero02","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD608","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero02","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero03","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD612","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero03","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero04","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD616","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero04","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.AO.Zero05","Modules/PLCCalibration.cs;frmHardWare.cs","PLCCalibration.cs:27-32,135-150; frmHardWare.cs:142-156","AO calibration zero","VD620","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","possible","yes","SourceCapabilityOnly","SMART.PLC.AO.Zero05","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","UI has six AO calibration controls; PLCCalibration chCountAO is 0, so read registration and actual driver ownership require review"
"SMART.PLC.DI.MDI00","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.0","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI00","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","yes","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI01","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.1","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI01","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI02","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.2","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI02","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI03","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.3","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI03","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI04","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.4","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI04","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI05","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.5","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI05","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI06","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.6","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI06","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI07","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V0.7","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI07","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI08","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V1.0","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI08","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI09","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V1.1","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI09","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
"SMART.PLC.DI.MDI10","Modules/DIGrp.cs","DIGrp.cs:19-27,43-53","Digital input","V1.2","S7-200/S7-1200 via S7NetPlus","Boolean","yes","yes","yes","yes","ActiveLegacy","SMART.PLC.DI.MDI10","ReadOnlyDataVariable","none (P2); any future write requires signed safety decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","Physical input; old index setter can call Write, but target remains read-only until an explicit electrical decision"
